Brand,Type,Name,Selling_Price,Original_Price,Display,Rating,Strap_Material,avg_battery_life
Xiaomi,FitnessBand,Smart Band 5,2499,2999,AMOLED Display,4.1,Thermoplastic polyurethane,14
Xiaomi,FitnessBand,Smart Band 4,2099,2499,AMOLED Display,4.2,Thermoplastic polyurethane,14
Xiaomi,FitnessBand,HMSH01GE,1722,2099,LCD Display,3.5,Leather,14
Xiaomi,FitnessBand,Smart Band 5,2469,2999,AMOLED Display,4.1,Thermoplastic polyurethane,14
Xiaomi,FitnessBand,Band 3,1799,2199,OLED Display,4.3,Plastic,7
Xiaomi,FitnessBand,Band - HRX Edition,1299,1799,OLED Display,4.2,Plastic,20
Xiaomi,FitnessBand,Band 2,2499,2499,OLED Display,4.3,Plastic,7
Xiaomi,Smartwatch,Revolve,12349,15999,AMOLED Display,4.4,Silicone,14
Xiaomi,Smartwatch,RevolveActive,12999,15999,AMOLED Display,4.4,Silicone,14
Xiaomi,FitnessBand,Smart Band 3i,1270,1599,OLED Display,4.2,Thermoplastic polyurethane,7
OnePlus ,FitnessBand,Steven Harrington Edition Band,3299,3999,AMOLED Display,4.3,Thermoplastic polyurethane,7
OnePlus ,FitnessBand,Band,2499,2799,AMOLED Display,4.2,Thermoplastic polyurethane,7
FitBit,Smartwatch,Versa 2,11999,14999,AMOLED Display,4.3,Silicone,7
FitBit,Smartwatch,Sense,21499,22999,AMOLED Display,4.2,Elastomer,7
FitBit,Smartwatch,Versa 3,17999,18999,AMOLED Display,4.3,Elastomer,7
FitBit,FitnessBand,Charge 4,9999,9999,PMOLED Display,4.2,Elastomer,7
FitBit,FitnessBand,Inspire,7990,7999,LED Display,4.2,Silicone,5
FitBit,FitnessBand,Inspire 2,6999,7999,PMOLED Display,4.4,Thermoplastic polyurethane,10
FitBit,FitnessBand,Lunar,10899,10999,AMOLED Display,4.7,Silicone,7
FitBit,FitnessBand,Charge 4,10999,11999,PMOLED Display,4.2,Elastomer,7
FitBit,FitnessBand,FB413LVLV,8807,38500,AMOLED Display,4.1,Silicone,5
